sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Support,,1,3915,129,57,Support,,,0,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 13:39:57,0,,false,129,physDesc,0,Physical description of a witness\'s material support.,"[1359.rectitle]\n([1360] \n[1361] {\\ x \\}\n[1351]{\\ , col.\\})",160,physDesc,open,0,physDesc,129,viewable,true,23,,false,,,normal,false,true,2025-05-15 08:59:34,false,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Support,,1,3938,129,1359,subject_of_description,The document that is the subject of the physical description.,,1,100,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,addorbrowse,,,,false,false,,,2024-10-21 16:21:44,0,,false,129,physDesc,0,Physical description of a witness\'s material support.,"[1359.rectitle]\n([1360] \n[1361] {\\ x \\}\n[1351]{\\ , col.\\})",160,physDesc,open,0,physDesc,129,viewable,true,23,,false,,,normal,false,true,2025-05-15 08:59:34,false,1359,subject_of_description,Please document the nature of this detail type (field)) ...,resource,The document that is the subject of the physical description.,,,open,0,subject_of_description,1359,1,0,,[],[106],,true,viewable,2024-10-21 16:21:44,false,,,,,,
Support,,1,3916,129,1341,material,Description of the material of which the object is composed.,,2,100,3,9782,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 16:21:44,0,,true,129,physDesc,0,Physical description of a witness\'s material support.,"[1359.rectitle]\n([1360] \n[1361] {\\ x \\}\n[1351]{\\ , col.\\})",160,physDesc,open,0,physDesc,129,viewable,true,23,,false,,,normal,false,true,2025-05-15 08:59:34,false,1341,material,Please document the nature of this detail type (field)) ...,enum,Description of the material of which the object is composed.,,,open,0,material,1341,1,0,9781,[],[],,true,viewable,2024-10-21 13:42:33,false,,9781,Material vocab,Material of which an object is composed.,4,"{perg={'description': Parchment and vellum, 'url': NULL, 'id': 9782}, chart={'description': All kinds of paper, 'url': NULL, 'id': 9783}, mixed={'description': NULL, 'url': NULL, 'id': 9785}, unknown={'description': NULL, 'url': NULL, 'id': 9786}}"
Support,,1,3917,129,1342,form,"\""[T]he form of the object in its original state, before any mutilation, rebinding, etc.\""<br><a target=\""_blank\"" href=\""https://github.com/msDesc/consolidated-tei-schema\"">Consolidated TEI Schema</a> objectDesc[@form])",,3,100,3,9788,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 16:21:44,0,,true,129,physDesc,0,Physical description of a witness\'s material support.,"[1359.rectitle]\n([1360] \n[1361] {\\ x \\}\n[1351]{\\ , col.\\})",160,physDesc,open,0,physDesc,129,viewable,true,23,,false,,,normal,false,true,2025-05-15 08:59:34,false,1342,form,Please document the nature of this detail type (field)) ...,enum,"\""[T]he form of the object in its original state, before any mutilation, rebinding, etc.\""<br><a target=\""_blank\"" href=\""https://github.com/msDesc/consolidated-tei-schema\"">Consolidated TEI Schema</a> objectDesc[@form])",,,open,0,form,1342,1,0,9787,[],[],,true,viewable,2024-10-21 13:48:22,false,,9787,PhysicalForm vocab,"\""[T]he form of the object in its original state, before any mutilation, rebinding, etc.\""<br><a target=\""_blank\"" href=\""https://github.com/msDesc/consolidated-tei-schema\"">Consolidated TEI Schema</a>",4,"{codex={'description': '\\""multiple gatherings of leaves, held within a binding of some kind, and used by turning the leaves.\\"" <br><a target=\\""_blank\\"" href=\\""https://github.com/msDesc/consolidated-tei-schema\\"">Consolidated TEI Schema</a>', 'url': NULL, 'id': 9788}, roll={'description': '\\""a parchment membrane, or two or more such membranes, either sewn together edge-to-edge to form a continuous surface for writing, or laid together in a pile and sewn together at the head, and used by unrolling the membranes.\\"" <br><a target=\\""_blank\\"" href=\\""https://github.com/msDesc/consolidated-tei-schema\\"">Consolidated TEI Schema</a>', 'url': NULL, 'id': 9789}, sheet={'description': '\\""a single sheet of parchment paper, not intended to form part of a codex, either kept flat or folded (rather than rolled) for storage.\\"" <br><a target=\\""_blank\\"" href=\\""https://github.com/msDesc/consolidated-tei-schema\\"">Consolidated TEI Schema</a>', 'url': NULL, 'id': 9790}, unknown={'description': NULL, 'url': NULL, 'id': 9791}}"
Current Measurements,,2,3940,129,76,Current Measurements,,,4,100,3,group,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-11-08 10:53:10,0,,false,129,physDesc,0,Physical description of a witness\'s material support.,"[1359.rectitle]\n([1360] \n[1361] {\\ x \\}\n[1351]{\\ , col.\\})",160,physDesc,open,0,physDesc,129,viewable,true,23,,false,,,normal,false,true,2025-05-15 08:59:34,false,76,Header 6,Please document the nature of this detail type (field)) ...,separator, ,,,open,3,HEADING 1,1054,139,0,,[],[],0,false,viewable,2021-12-31 05:59:47,true,,,,,,
Current Measurements,,2,3941,129,1360,folio_size_width,"The current width of the folio size in millimeters.<br/>If unknown, enter \""NA\""",,5,10,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-15 09:07:35,0,,false,129,physDesc,0,Physical description of a witness\'s material support.,"[1359.rectitle]\n([1360] \n[1361] {\\ x \\}\n[1351]{\\ , col.\\})",160,physDesc,open,0,physDesc,129,viewable,true,23,,false,,,normal,false,true,2025-05-15 08:59:34,false,1360,folio_size_width,Please document the nature of this detail type (field)) ...,freetext,"The current width of the folio size in millimeters.<br/>If unknown, enter \""NA\""",,,open,0,folio_size_width,1360,1,0,,[],[],,true,viewable,2024-11-08 10:56:36,false,,,,,,
Current Measurements,,2,3942,129,1361,folio_size_height,"The current height of the folio size in millimeters.<br/>If unknown, enter \""NA\""",,6,10,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-15 09:07:38,0,,false,129,physDesc,0,Physical description of a witness\'s material support.,"[1359.rectitle]\n([1360] \n[1361] {\\ x \\}\n[1351]{\\ , col.\\})",160,physDesc,open,0,physDesc,129,viewable,true,23,,false,,,normal,false,true,2025-05-15 08:59:34,false,1361,folio_size_height,Please document the nature of this detail type (field)) ...,freetext,"The current height of the folio size in millimeters.<br/>If unknown, enter \""NA\""",,,open,0,folio_size_height,1361,1,0,,[],[],,true,viewable,2024-11-08 10:56:46,false,,,,,,
Current Measurements,,2,3943,129,1362,folio_size_reference,"An in-line citation (or URL of a library finding aid) documenting where the measurements were described.<br/>If the measurements are unknown, enter \""NA\""",,7,60,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-15 09:07:41,0,,false,129,physDesc,0,Physical description of a witness\'s material support.,"[1359.rectitle]\n([1360] \n[1361] {\\ x \\}\n[1351]{\\ , col.\\})",160,physDesc,open,0,physDesc,129,viewable,true,23,,false,,,normal,false,true,2025-05-15 08:59:34,false,1362,folio_size_reference,Please document the nature of this detail type (field)) ...,freetext,"An in-line citation (or URL of a library finding aid) documenting where the measurements were described.<br/>If the measurements are unknown, enter \""NA\""",,,open,0,folio_size_reference,1362,1,0,,[],[],,true,viewable,2024-11-08 10:57:10,false,,,,,,
Original Measurements,"Estimations of the document\'s measurements prior to any mutilation, rebinding, etc.",3,3939,129,71,Original Measurements,"Estimations of the document\'s measurements prior to any mutilation, rebinding, etc.",,8,100,3,group,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-11-08 10:55:38,0,,false,129,physDesc,0,Physical description of a witness\'s material support.,"[1359.rectitle]\n([1360] \n[1361] {\\ x \\}\n[1351]{\\ , col.\\})",160,physDesc,open,0,physDesc,129,viewable,true,23,,false,,,normal,false,true,2025-05-15 08:59:34,false,71,Header 5,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 5,71,139,0,,[],[],0,false,viewable,2021-12-31 05:59:47,true,,,,,,
Original Measurements,"Estimations of the document\'s measurements prior to any mutilation, rebinding, etc.",3,3918,129,1343,estimated_folio_size_height,"The height in millimeters (a range is permitted) of the folio size in the witness as it would have been before any mutilation, rebinding, etc.",,9,15,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-11-08 10:55:38,0,,false,129,physDesc,0,Physical description of a witness\'s material support.,"[1359.rectitle]\n([1360] \n[1361] {\\ x \\}\n[1351]{\\ , col.\\})",160,physDesc,open,0,physDesc,129,viewable,true,23,,false,,,normal,false,true,2025-05-15 08:59:34,false,1343,estimated_folio_size_height,Please document the nature of this detail type (field)) ...,freetext,"The height in millimeters (a range is permitted) of the folio size in the witness as it would have been before any mutilation, rebinding, etc.",,,open,0,original_folio_size_height,1343,1,0,,[],[],,true,viewable,2024-10-21 13:50:42,false,,,,,,
