sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3794,105,57,Label Components,Data fields that also help human users search for and recognize this record in the database.,,0,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 15:51:48,0,,false,105,witness,0,"a witness of a text, placed in a stemma or otherwise","[[[1301.term]]] \""[1295.1244]\"" ([1285]) [1296] [1356.1315.1307]{\\, in ms }",160,witnesses,open,0,witness,105,viewable,true,23,,false,,,normal,false,true,2025-09-16 09:54:49,false,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3800,105,1295,is_manifestation_of,The text of which this item is a physical embodiment and inscription.,,1,100,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 16:00:15,0,https://www.wikidata.org/wiki/Property:P1557,false,105,witness,0,"a witness of a text, placed in a stemma or otherwise","[[[1301.term]]] \""[1295.1244]\"" ([1285]) [1296] [1356.1315.1307]{\\, in ms }",160,witnesses,open,0,witness,105,viewable,true,23,,false,,,normal,false,true,2025-09-16 09:54:49,false,1295,is_manifestation_of,Please document the nature of this detail type (field)) ...,resource,The text of which this item is a physical embodiment and inscription.,,,open,0,is_manifestation_of,1295,1,0,,[],[101],,true,viewable,2024-09-05 16:00:15,false,https://www.wikidata.org/wiki/Property:P1557,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3935,105,1356,observed_on_pages,"A subdivision of the witness\'s text in an extant document.<br><a target=\""_blank\"" href=\""https://tei-c.org/release/doc/tei-p5-doc/en/html/ref-div.html\"">div</a>",,2,100,3,,0,,,recommended,public,open,open,0,,0,0,1,,,,false,addorbrowse,,,,false,false,,,2024-10-21 15:39:14,0,,false,105,witness,0,"a witness of a text, placed in a stemma or otherwise","[[[1301.term]]] \""[1295.1244]\"" ([1285]) [1296] [1356.1315.1307]{\\, in ms }",160,witnesses,open,0,witness,105,viewable,true,23,,false,,,normal,false,true,2025-09-16 09:54:49,false,1356,observed_on_pages,Please document the nature of this detail type (field)) ...,resource,"A subdivision of the witness\'s text in an extant document.<br><a target=\""_blank\"" href=\""https://tei-c.org/release/doc/tei-p5-doc/en/html/ref-div.html\"">div</a>",,,open,0,text_division,1356,1,0,,[],[125],,true,viewable,2024-10-21 14:56:57,false,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3889,105,1190,last_observed_in_doc,The document in which the witness was last observed.,,3,100,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 15:39:14,0,,false,105,witness,0,"a witness of a text, placed in a stemma or otherwise","[[[1301.term]]] \""[1295.1244]\"" ([1285]) [1296] [1356.1315.1307]{\\, in ms }",160,witnesses,open,0,witness,105,viewable,true,23,,false,,,normal,false,true,2025-09-16 09:54:49,false,1190,last_observed_in_doc,Please document the nature of this detail type (field)) ...,resource,The document in which the witness was last observed.,,,open,0,document,1190,1,0,,[],[106],,true,viewable,2024-10-21 14:34:02,false,,,,,,
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3795,105,69,Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",,4,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 15:39:14,0,,false,105,witness,0,"a witness of a text, placed in a stemma or otherwise","[[[1301.term]]] \""[1295.1244]\"" ([1285]) [1296] [1356.1315.1307]{\\, in ms }",160,witnesses,open,0,witness,105,viewable,true,23,,false,,,normal,false,true,2025-09-16 09:54:49,false,69,Header 3,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 3,69,139,0,,[],[],0,false,viewable,2021-12-31 05:59:45,true,,,,,,
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3802,105,1266,is_unobserved,Whether the entity is attested (True) in a hypothesis or whether it is received as fact that it exists or existed (False).,,5,100,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 15:39:14,0,,true,105,witness,0,"a witness of a text, placed in a stemma or otherwise","[[[1301.term]]] \""[1295.1244]\"" ([1285]) [1296] [1356.1315.1307]{\\, in ms }",160,witnesses,open,0,witness,105,viewable,true,23,,false,,,normal,false,true,2025-09-16 09:54:49,false,1266,is_unobserved,Please document the nature of this detail type (field)) ...,enum,Whether the entity is attested (True) in a hypothesis or whether it is received as fact that it exists or existed (False).,,,open,0,is_hypothetical,1266,1,0,9481,[],[],,true,viewable,2024-10-01 14:56:27,false,,9481,yes/no/maybe vocab,,4,"{Yes={'description': NULL, 'url': NULL, 'id': 9482}, No={'description': NULL, 'url': NULL, 'id': 9483}, Maybe={'description': NULL, 'url': NULL, 'id': 9484}, unknown={'description': The information is not ready to be input., 'url': NULL, 'id': 9770}}"
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3803,105,1294,claim_freetext,"<b>[Temporary]</b><br>Brief note about the hypothesis that attests to this record\'s existence. This information is meant to be a temporary note that will eventually be entered into a Hypothesis entity, which should be linked back to this record.",,6,75,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 15:39:14,0,,false,105,witness,0,"a witness of a text, placed in a stemma or otherwise","[[[1301.term]]] \""[1295.1244]\"" ([1285]) [1296] [1356.1315.1307]{\\, in ms }",160,witnesses,open,0,witness,105,viewable,true,23,,false,,,normal,false,true,2025-09-16 09:54:49,false,1294,claim_freetext,Please document the nature of this detail type (field)) ...,blocktext,"<b>[Temporary]</b><br>Brief note about the hypothesis that attests to this record\'s existence. This information is meant to be a temporary note that will eventually be entered into a Hypothesis entity, which should be linked back to this record.",,,open,0,claim_freetext,1294,1,0,,[],[],,true,viewable,2024-09-05 13:26:12,false,,,,,,
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3805,105,1298,used_to_follow_fragment,"If the witness is a fragment, another fragment that represents an earlier part of the text and the 2 fragments were originally produced as one 1 unit. <br><b>[linked fragment (pp.1-2)]</b> <--(used to follow)-- <b>[this fragment (pp.3-4)]</b>",,7,100,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 15:39:14,0,,false,105,witness,0,"a witness of a text, placed in a stemma or otherwise","[[[1301.term]]] \""[1295.1244]\"" ([1285]) [1296] [1356.1315.1307]{\\, in ms }",160,witnesses,open,0,witness,105,viewable,true,23,,false,,,normal,false,true,2025-09-16 09:54:49,false,1298,used_to_follow_fragment,Please document the nature of this detail type (field)) ...,resource,"If the witness is a fragment, another fragment of the same text and from the same codicological unit that represents an earlier part of the text, so that this witness and the linked witness would constitute two sequential parts of a lost witness.",,,open,0,used_to_follow_fragment,1298,1,0,,[],[105],,true,viewable,2024-09-05 16:06:26,false,,,,,,
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3810,105,1300,used_to_follow_witness,"If the witness was originally with another witness, especially the witness of a different text, in a now lost document, the witness that immediately preceded it in the hypothetical document. <br><b>[linked witness] <--(used to follow)-- [this witness]</b>",,8,100,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 15:39:14,0,,false,105,witness,0,"a witness of a text, placed in a stemma or otherwise","[[[1301.term]]] \""[1295.1244]\"" ([1285]) [1296] [1356.1315.1307]{\\, in ms }",160,witnesses,open,0,witness,105,viewable,true,23,,false,,,normal,false,true,2025-09-16 09:54:49,false,1300,used_to_follow_witness,Please document the nature of this detail type (field)) ...,resource,"If the witness was originally with another witness, especially the witness of a different text, in a now lost or disassembled document, the witness that immediately preceded it in the hypothetical document.",,,open,0,used_to_follow_witness,1300,1,0,,[],[105],,true,viewable,2024-09-05 16:10:53,false,,,,,,
Tradition,,3,3360,105,58,Tradition,,,9,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 15:39:14,0,,false,105,witness,0,"a witness of a text, placed in a stemma or otherwise","[[[1301.term]]] \""[1295.1244]\"" ([1285]) [1296] [1356.1315.1307]{\\, in ms }",160,witnesses,open,0,witness,105,viewable,true,23,,false,,,normal,false,true,2025-09-16 09:54:49,false,58,Header 2,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 2,58,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
