sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3362,106,57,Label Components,Data fields that also help human users search for and recognize this record in the database.,,0,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 17:01:46,0,,false,106,document,0,"A physical entity: a book (manuscript, incunabula, fragment, printed copy…)","[1308.rectitle]\n{\\, \\ [[location unknown]]}\n[1309]{\\, \\} \n[1307]{\\, \\ [[without shelfmark]] ([1367])}\n[1310]{\\ hypothetical \\}",160,documents,open,0,historical-document,106,viewable,true,23,,false,,,normal,false,true,2025-05-15 09:18:24,false,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3844,106,1307,current_shelfmark,"Shelf mark by which the document can be requested or, in the case of unavailable archives, by which it is known. If the institution has not provided a shelf mark, leave blank.",,1,30,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-07 07:29:27,0,,false,106,document,0,"A physical entity: a book (manuscript, incunabula, fragment, printed copy…)","[1308.rectitle]\n{\\, \\ [[location unknown]]}\n[1309]{\\, \\} \n[1307]{\\, \\ [[without shelfmark]] ([1367])}\n[1310]{\\ hypothetical \\}",160,documents,open,0,historical-document,106,viewable,true,23,,false,,,normal,false,true,2025-05-15 09:18:24,false,1307,current_shelfmark,Please document the nature of this detail type (field)) ...,freetext,"Shelf mark by which the document can be requested or, in the case of unavailable archives, by which it is known. If the institution has not provided a shelf mark, leave blank.",,,open,0,current_shelfmark,1307,1,0,,[],[],,true,viewable,2025-05-07 07:29:28,false,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3953,106,1367,contents_of_record_without_shelfmark,"A distinguishing note about a record without a shelfmark, such as its contents.",,2,40,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-06 19:18:03,0,,false,106,document,0,"A physical entity: a book (manuscript, incunabula, fragment, printed copy…)","[1308.rectitle]\n{\\, \\ [[location unknown]]}\n[1309]{\\, \\} \n[1307]{\\, \\ [[without shelfmark]] ([1367])}\n[1310]{\\ hypothetical \\}",160,documents,open,0,historical-document,106,viewable,true,23,,false,,,normal,false,true,2025-05-15 09:18:24,false,1367,contents_of_record_without_shelfmark,Please document the nature of this detail type (field)) ...,freetext,"A distinguishing note about a record without a shelfmark, such as its contents.",,,open,0,contents_of_record_without_shelfmark,1367,1,0,,[],[],,true,viewable,2025-05-06 19:17:57,false,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3846,106,1309,collection,"A single collection of materials with some unifying characteristic, housed in an archive.<br>Query <a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Q9388534\"">Q9388534</a>",,3,50,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-06 19:17:57,0,https://www.wikidata.org/wiki/Q9388534,false,106,document,0,"A physical entity: a book (manuscript, incunabula, fragment, printed copy…)","[1308.rectitle]\n{\\, \\ [[location unknown]]}\n[1309]{\\, \\} \n[1307]{\\, \\ [[without shelfmark]] ([1367])}\n[1310]{\\ hypothetical \\}",160,documents,open,0,historical-document,106,viewable,true,23,,false,,,normal,false,true,2025-05-15 09:18:24,false,1309,collection,Please document the nature of this detail type (field)) ...,freetext,"A single collection of materials with some unifying characteristic, housed in an archive.<br>Query <a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Q9388534\"">Q9388534</a>",,,open,0,collection,1309,1,0,,[],[],,true,viewable,2024-10-15 11:19:07,false,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3845,106,1308,location,"Location of the object, structure or event, i.e. the Mona Lisa\'s location is the Louvre Museum.<br>Property <a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Property:P276\"">P276</a>",,4,100,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-06 19:17:57,0,https://www.wikidata.org/wiki/Property:P276,false,106,document,0,"A physical entity: a book (manuscript, incunabula, fragment, printed copy…)","[1308.rectitle]\n{\\, \\ [[location unknown]]}\n[1309]{\\, \\} \n[1307]{\\, \\ [[without shelfmark]] ([1367])}\n[1310]{\\ hypothetical \\}",160,documents,open,0,historical-document,106,viewable,true,23,,false,,,normal,false,true,2025-05-15 09:18:24,false,1308,location,Please document the nature of this detail type (field)) ...,resource,"Location of the object, structure or event, i.e. the Mona Lisa\'s location is the Louvre Museum.<br>Property <a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Property:P276\"">P276</a>",,,open,0,is_preserved_in,1308,1,0,,[],[108],,true,viewable,2024-10-15 11:17:05,false,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3951,106,1365,location_known,"The object\'s current physical location is known. If the location is not known, describe what is known in the free-text field.",,5,100,3,9497,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-07 07:19:08,0,,true,106,document,0,"A physical entity: a book (manuscript, incunabula, fragment, printed copy…)","[1308.rectitle]\n{\\, \\ [[location unknown]]}\n[1309]{\\, \\} \n[1307]{\\, \\ [[without shelfmark]] ([1367])}\n[1310]{\\ hypothetical \\}",160,documents,open,0,historical-document,106,viewable,true,23,,false,,,normal,false,true,2025-05-15 09:18:24,false,1365,location_known,Please document the nature of this detail type (field)) ...,enum,"The object\'s current physical location is known. If the location is not known, describe what is known in the free-text field.",,,open,0,location_known,1365,1,0,9496,[],[],,true,viewable,2025-05-06 15:17:37,false,,9496,yes/no vocab,,3,"{Yes={'description': NULL, 'url': NULL, 'id': 9497}, No={'description': NULL, 'url': NULL, 'id': 9498}, unknown={'description': The information is not ready for input., 'url': NULL, 'id': 9535}}"
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3952,106,1366,location_notes,"If the current physical location is unknown, describe what is known about the object\'s location.",,6,120,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-07 07:38:11,0,,false,106,document,0,"A physical entity: a book (manuscript, incunabula, fragment, printed copy…)","[1308.rectitle]\n{\\, \\ [[location unknown]]}\n[1309]{\\, \\} \n[1307]{\\, \\ [[without shelfmark]] ([1367])}\n[1310]{\\ hypothetical \\}",160,documents,open,0,historical-document,106,viewable,true,23,,false,,,normal,false,true,2025-05-15 09:18:24,false,1366,location_notes,Please document the nature of this detail type (field)) ...,freetext,"If the current physical location is unknown, describe what is known about the object\'s location.",,,open,0,location_notes,1366,1,0,,[],[],,true,viewable,2025-05-06 15:19:37,false,,,,,,
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3364,106,69,Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",,7,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-15 09:14:48,0,,false,106,document,0,"A physical entity: a book (manuscript, incunabula, fragment, printed copy…)","[1308.rectitle]\n{\\, \\ [[location unknown]]}\n[1309]{\\, \\} \n[1307]{\\, \\ [[without shelfmark]] ([1367])}\n[1310]{\\ hypothetical \\}",160,documents,open,0,historical-document,106,viewable,true,23,,false,,,normal,false,true,2025-05-15 09:18:24,false,69,Header 3,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 3,69,139,0,,[],[],0,false,viewable,2021-12-31 05:59:45,true,,,,,,
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3848,106,1266,is_hypothetical,Whether the entity is attested (True) in a hypothesis or whether it is received as fact that it exists or existed (False).,,8,100,3,9483,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-15 09:14:48,0,,true,106,document,0,"A physical entity: a book (manuscript, incunabula, fragment, printed copy…)","[1308.rectitle]\n{\\, \\ [[location unknown]]}\n[1309]{\\, \\} \n[1307]{\\, \\ [[without shelfmark]] ([1367])}\n[1310]{\\ hypothetical \\}",160,documents,open,0,historical-document,106,viewable,true,23,,false,,,normal,false,true,2025-05-15 09:18:24,false,1266,is_unobserved,Please document the nature of this detail type (field)) ...,enum,Whether the entity is attested (True) in a hypothesis or whether it is received as fact that it exists or existed (False).,,,open,0,is_hypothetical,1266,1,0,9481,[],[],,true,viewable,2024-10-01 14:56:27,false,,9481,yes/no/maybe vocab,,4,"{Yes={'description': NULL, 'url': NULL, 'id': 9482}, No={'description': NULL, 'url': NULL, 'id': 9483}, Maybe={'description': NULL, 'url': NULL, 'id': 9484}, unknown={'description': The information is not ready to be input., 'url': NULL, 'id': 9770}}"
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3847,106,1310,invented_label,"<b>**Required if document is hypothetical**</b><br/>\nIf this record is a hypothetical document, a useful label by which to recognize and refer to the document.",,9,60,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2025-05-15 09:16:08,0,,false,106,document,0,"A physical entity: a book (manuscript, incunabula, fragment, printed copy…)","[1308.rectitle]\n{\\, \\ [[location unknown]]}\n[1309]{\\, \\} \n[1307]{\\, \\ [[without shelfmark]] ([1367])}\n[1310]{\\ hypothetical \\}",160,documents,open,0,historical-document,106,viewable,true,23,,false,,,normal,false,true,2025-05-15 09:18:24,false,1310,invented_label,Please document the nature of this detail type (field)) ...,freetext,"If this record is a hypothetical document, a useful label by which to recognize and refer to the document.",,,open,0,invented_label,1310,1,0,,[],[],,true,viewable,2024-09-05 17:07:38,false,,,,,,
